Код,Тип,Наименование,Локация,Дата,Количество,Примечание
p080,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом ФРГ Р. Херцогом, в ходе официального визита в Федеративную Республику Германия",Бонн,24.11.1997,2,
p081,photo,"Встреча Президента РК Н.А. Назарбаева с Федеральным канцлером ФРГ Г. Колем, в ходе официального визита в Федеративную Республику Германия",Бонн,25.11.1997,3,
p082,photo,Официальный визит Президента РК Н.А. Назарбаева в Польшу. Встреча с Президентом Польши А. Квасьневским.,Варшава,27.11.1997,4,
p083,photo,Встреча Президента РК Н.А. Назарбаева с Президентом Туркменистана С. Ниязовым,Алматы,27.02.1997,1,
p084,photo,Рабочий визит Президента РК Н.А. Назарбаева в Российскую Федерацию. Встреча с Президентом РФ Б. Ельциным,Москва,23.01.1998,2,
p085,photo,"Встреча Президента РК Н.А. Назарбаева с Королем Испании Хуаном Карлосом I, прибывшим в Казахстан с официальным визитом",Алматы,13.02.1998,2,
p086,photo,"Официальный визит Президента Монголии Н. Багабанди в Казахстан, прибывшим в Казахстан с официальным визитом",Алматы,12.03.1998,3,
p087,photo,Рабочий визит Президента РК Н.А. Назарбаева в Российскую Федерацию. Встреча с Президентом РФ Б. Ельциным,Москва,09.04.1998,4,
p088,photo,Президент РК Н. Назарбаев с Президентом Турции С. Демирелем в мавзолее Ходжи Ахмеда Яссауи,г. Туркестан,12.05.1998,3,
p089,photo,"Глава государства находился с официальным визитом в Государстве Катар, где в столице этой страны г. Дохе встретился с Эмиром Катара шейхом Хамадомбен Халифой аль-Тани",Доха,23.05.1998,2,
p090,photo,Встреча Президента РК Н. Назарбаева с Президентом ОАЭ шейхом Заид бен Султаном аль- Нахаяном.,Абу-Даби,24.05.1998,1,
p091,photo,"Встреча Президента РК Н.А. Назарбаева с Председателем Китайской Народной Республики Цзян Цзэминем, в рамках саммита государств «Шанхайской пятерки»",Астана,04.07.1998,1,
p092,photo,Официальный визит Президента РК Н.А. Назарбаева в Румынию. Встреча с Президентом Э. Константинеску,Бухарест,20.09.1998,3,
p093,photo,Официальный визит Президента РК Н. Назарбаева в Итальянскую Республику. Встреча с Президентом Италии О. Скальфаро,Рим,22.09.1998,2,
p094,photo,Встреча Президента РК Н.А. Назарбаева  с Папой Римским Иоанном Павлом II.,Ватикан,24.09.1998,1,
p095,photo,"Встреча Президента РК  Н.А. Назарбаева с Президентом РФ Б.Н. Ельциным, прибывшим в Казахстан с государственным визитом",Алматы,12.10.1998,4,
p096,photo,Официальный визит Президента РК Н.А. Назарбаева в Узбекистан. Встреча с Президентом Исламом Каримовым.,Ташкент,30.10.1998,2,
p097,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом РФ Б. Ельциным, в рамках заседании Межгосударственного совета",г. Моква,23.01.1999,2,
p098,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Узбекистана И.А. Каримовым, в рамках заседания Межгосударственного совета ЦАЭС",г. Астана,19.02.1999,1,
p099,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Туркменистана С.А. Ниязовым в рамках заседания Международного фонда спасения Арала, состоявшемся в столице Туркменистана г. Ашгабаде",г. Ашгабад,08.04.1999,2,
p100,photo,"Встреча Президента РК Н. Назарбаева с Президентом Государства Палестины Я. Арафатом, прибывшего в Казахстан с рабочим визитом",г. Алматы,16.04.1999,2,
p101,photo,"Встреча Президента РК Н.А. Назарбаева с Эмиром Государства Катар шейхом Хамадом бен Халифойаль –Тани, прибывшим в Казахстан с официальным визитом",Астана,21.04.1999,2,
p102,photo,Рабчий визит Президента РК Н.А. Назарбаева в Австрийскую Республику. Встреча с Президентом Австрии Т. Клестилем,Зальцбург,02.07.1999,2,
p103,photo,"Рабочий визит Президента РК Н.А. Назарбаева в Австрийскую Республику. Встреча с Президентом Болгарии П. Стояновым, в рамках Международной экономического саммита стран Центральной и Восточной Европы",Зальцбург,02.07.1999,2,
p104,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Республики Молдова П. Лучинским, прибывшим в Казахстан с официальным визитом",Астана,15.07.1999,3,
p105,photo,"Встреча Президента РК Н.А. Назарбаева с Председателем КНР Ц. Цзэминем, в рамках саммита «Шанхайской пятерки»",Бишкек,24.08.1999,1,
p106,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Армении Р. Кочаряном, прибывшим в Казахстан с официальным визитом",Астана,02.09.1999,2,
p107,photo,Официальный визит Главы государства в Республику Болгария. Встреча с Президентом П. Стояновым.,София,15.09.1999,2,
p108,photo,Официальный визит Президент РК Н.А. Назарбаева в Исламскую Республику Иран. Встреча с Президентом Ирана М. Хатами,Тегеран,05.10.1999,3,
p109,photo,Рабочий визит Президента РК Н.А. Назарбаева в Российскую Республику. Встреча с Президентом РФ Б. Ельциным,Москва,26.10.1999,2,
p110,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом Румынии Э. Константинеску, прибывшим в Казахстан с официальным визитом",Астана,11.11.1999,3,
p111,photo,Официальный визит Президента РК Н.Назарбаева в Монголию. Встреча с Президентом Монголии Н. Баганди,Улан-Батор,22.11.1999,3,
p112,photo,Официальный визит Президента иРК Н.А. Назарбаева в Китайскую Народную Республику. Встреча с председателем КНР Ц. Цзэминем.,Пекин,23.11.1999,3,
p113,photo,"Встреча Президента РК Н.А. Назарбаева с Императором Японии Акихито, в рамках официального визита в Японию",Токио,07.12.1999,1,
p114,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом США Б. Клинтоном, в рамках официального визита в США",Вашингтон,21.12.1999,2,
p115,photo,Государственный визит Президента РК Н.А. Назарбаева в Австрийскую Республику. Встреча с Президентом Австрии Т. Клестилем,г. Вена,23.02.2000,2,
p116,photo,Официальный визит Президента РК Н.А. Назарбаева в Государство Израиль. Встреча с Президентом страны Э. Вейцманом,Тель-Авив,03.04.2000,3,
p117,photo,Официальный визит Президента РК Н.А. Назарбаева в Палестину. Встреча с Председателем Исполкома Организации освобождения Палестины Я. Арафатом,Иерусалим,04.04.2000,2,
p118,photo,Официальный визит Президента РК Н.А. Назарбаева в Республику Азербайджан. Встреча с Президентом страны Г.А. Алиевым,Баку,07.04.2000,2,
p119,photo,"Встреча Президента РК Н.А. Назарбаева с  Президентом Литовской Республики  В. Адамкусом, прибывшим в Казахстан с государственным визитом",Астана,11.05.2000,3,
p120,photo,Официальный визит Президента РК Н.Назарбаева в Республику Беларусь. Встреча с Президентом Беларуси А. Лукашенко,Минск,22.05.2000,2,
p121,photo,Рабочий визит Президента РК Н.А. Назарбаева в  Украину. Встреча с Президентом Украины Л.Д. Кучмой,Киев,02.06.2000,1,
p122,photo,"Официальный визит Президента РК Н.А. Назарбаева в Республику Таджикистан. Встреча с Президентом Э.Ш. Рахмоновым",Душанбе,13.06.2000,1,
p123,photo,"Встреча Президента РК Н.А. Назарбаева с Президентом РФ В.В. Путиным, в рамках официального визита в Российскую Федерацию",Москва,18.06.2000,2,
p124,photo,Государственный визит Президента РК Н.А. Назарбаева в Королевство Бельгия. Встреча с Королем Альбертом II,г. Брюссель,26.06.2000,1,
p125,photo,Официальный визит Главы государства во Францию. Встреча с Президентом Французской Республики Ж. Шираком,Париж,28.06.2000,1,
